Programmatic Name,Velocity Register
val_pem_pct_ecThrshldUnderAlarmL2,4535
val_pem_pct_ecThrshldUnderAlarmL3,4536
val_pem_pct_ecThrshldOverWarnL1,4537
val_pem_pct_ecThrshldOverWarnL2,4538
val_pem_pct_ecThrshldOverWarnL3,4539
val_pem_pct_ecThrshldOverAlarmL1,4540
val_pem_pct_ecThrshldOverAlarmL2,4541
val_pem_pct_ecThrshldOverAlarmL3,4542
val_pem_pct_ecThrshldUnderAlarmLN,4543
val_pem_pct_ecThrshldOverWarnLN,4544
val_pem_pct_ecThrshldOverAlarmLN,4545
val_pem_pct_ecThrshldUnderAlarmLL,4546
val_pem_pct_ecThrshldOverWarnLL,4547
val_pem_pct_ecThrshldOverAlarmLL,4548
st_sys_resetToFctryDflts,4549
evt_sys_frmwrUpdtRqrd,4550
evt_sys_testEvent,4551
val_sys_na_deviceCnt,4552
st_sys_serverClass,4553
val_pem_ecAvailThrshldAlarm_LN,4554
val_pem_ecUtlztnThrshldAlarm_LN,4555
val_pem_ecAvailThrshldAlarm_LL,4556
val_pem_ecUtlztnThrshldAlarm_LL,4557
val_pem_ecAvailThrshldAlarm_L1,4558
val_pem_ecAvailThrshldAlarm_L2,4559
val_pem_ecAvailThrshldAlarm_L3,4560
val_pem_ecUtlztnThrshldAlarm_L1,4561
val_pem_ecUtlztnThrshldAlarm_L2,4562
val_pem_ecUtlztnThrshldAlarm_L3,4563
val_rem_ecAvailThrshldAlarm_LN,4564
val_rem_ecUtlztnThrshldAlarm_LN,4565
val_rem_ecAvailThrshldAlarm_LL,4566
val_rem_ecUtlztnThrshldAlarm_LL,4567
val_rcp_ecAvailThrshldAlarm,4568
val_rcp_ecUtlztnThrshldAlarm,4569
val_aux_sensorId,4570
str_aux_sensorLabelSysAssign,4571
val_aux_sensorPos,4572
str_aux_sensorSnAps,4573
st_aux_sensorMeasType,4574
str_aux_sensorLabelUsrAssign,4575
str_aux_sensorAssetTag01,4576
str_aux_sensorAssetTag02,4577
str_aux_tmpSensorSerialNumber,4578
val_aux_tmp_sensorMeasure,4579
evt_aux_tmpSensorOver,4580
evt_aux_tmpSensorUnder,4581
val_aux_tmp_snsrThrshldOvrWrn,4582
val_aux_tmp_snsrThrshldOvrAlrm,4583
val_aux_tmp_snsrThrshldUnderWrn,4584
val_aux_tmp_snsrThrshldUnderAlrm,4585
str_aux_hmdSensorSerialNumber,4586
val_aux_hmd_sensorMeasure,4587
evt_aux_hmdSensorOver,4588
evt_aux_hmdSensorUnder,4589
val_aux_hmd_snsrThrshldOvrWrn,4590
val_aux_hmd_snsrThrshldOvrAlrm,4591
val_aux_hmd_snsrThrshldUnderWrn,4592
val_aux_hmd_snsrThrshldUnderAlrm,4593
val_ext_tmp_airA,4594
val_ext_pct_hmdtyAirA,4595
val_ext_tmp_dewPntA,4596
